,open,high,low,close,volume,date
2024-12-06,173.88,176.8389,173.55,176.49,13319549,2024-12-06
2024-12-09,175.715,178.04,175.4,177.1,19887786,2024-12-09
2024-12-10,184.535,188.03,182.67,186.53,34317438,2024-12-10
2024-12-11,186.7,196.89,186.26,196.71,41664489,2024-12-11
2024-12-12,196.3,196.7053,193.28,193.63,25197757,2024-12-12
2024-12-13,192.71,194.34,191.26,191.38,18883217,2024-12-13
2024-12-16,194.365,200.64,194.11,198.16,32248640,2024-12-16
2024-12-17,198.53,202.88,196.69,197.12,24129481,2024-12-17
2024-12-18,196.83,198.6899,189.28,190.15,27638416,2024-12-18
2024-12-19,193.28,194.6,189.52,189.7,26981196,2024-12-19
2024-12-20,187.01,194.1354,186.37,192.96,45319703,2024-12-20
2024-12-23,194.03,196.49,191.63,195.99,15235942,2024-12-23
2024-12-24,196.17,197.67,195.1979,197.57,6809823,2024-12-24
2024-12-26,196.74,198.16,195.87,197.1,7918434,2024-12-26
2024-12-27,196.47,196.8,191.972,194.04,14692994,2024-12-27
2024-12-30,190.865,193.78,190.36,192.69,12209534,2024-12-30
2024-12-31,192.445,193.25,189.58,190.44,14355221,2024-12-31
2025-01-02,191.485,193.2,188.71,190.63,17545162,2025-01-02
2025-01-03,192.725,194.5,191.35,193.13,12874957,2025-01-03
2025-01-06,195.15,199.56,195.06,197.96,19483323,2025-01-06
2025-01-07,198.27,202.14,195.94,196.71,16966760,2025-01-07
2025-01-08,193.95,197.64,193.75,195.39,14335341,2025-01-08
2025-01-10,195.42,197.62,191.6,193.17,20753794,2025-01-10
2025-01-13,191.35,192.49,188.66,192.29,13169060,2025-01-13
2025-01-14,192.5,193.27,189.64,191.05,13651183,2025-01-14
2025-01-15,194.35,197.8,193.33,196.98,12894875,2025-01-15
2025-01-16,195.825,196.9799,194.3,194.41,13449581,2025-01-16
2025-01-17,198.05,198.81,195.31,197.55,22109129,2025-01-17
2025-01-21,200.51,203.84,199.44,199.63,19005232,2025-01-21
2025-01-22,200.55,202.12,199.2,200.03,15477376,2025-01-22
2025-01-23,199.98,201.94,196.82,199.58,15170838,2025-01-23
2025-01-24,199.85,202.57,199.7842,201.9,12732376,2025-01-24
2025-01-27,194.19,198.67,192.7,193.77,24970173,2025-01-27
2025-01-28,194.65,197.23,192.61,197.07,15939161,2025-01-28
2025-01-29,197.37,198.4595,195.19,197.18,12287818,2025-01-29
2025-01-30,199.76,203.2384,199.4717,202.63,14571479,2025-01-30
2025-01-31,203.715,207.08,203.58,205.6,17087335,2025-01-31
2025-02-03,202.215,205.22,201.66,202.64,16719469,2025-02-03
2025-02-04,204.5,208.7,204.26,207.71,28285436,2025-02-04
2025-02-05,193.1,194.5499,189.91,193.3,43719589,2025-02-05
2025-02-06,190.99,193.83,190.49,193.31,20816593,2025-02-06
2025-02-07,192.74,193.015,185.1,187.14,29565724,2025-02-07
2025-02-10,189.06,189.99,187.61,188.2,16606020,2025-02-10
2025-02-11,186.835,188.8,186.08,187.07,13028100,2025-02-11
2025-02-12,185.23,186.83,183.63,185.43,17632314,2025-02-12
2025-02-13,185.93,187.99,184.88,187.88,12729334,2025-02-13
2025-02-14,186.83,188.15,186.11,186.87,12714154,2025-02-14
2025-02-18,187.44,187.78,183.58,185.8,19796028,2025-02-18
2025-02-19,186.185,187.36,185.5,187.13,13120465,2025-02-19
2025-02-20,186.5,187.12,184.6,186.64,12063807,2025-02-20
2025-02-21,187.29,187.47,181.13,181.58,19520782,2025-02-21
2025-02-24,183.8,185.09,180.88,181.19,18734014,2025-02-24
2025-02-25,180.155,180.76,176.77,177.37,20832485,2025-02-25
2025-02-26,176.945,178.08,173.59,174.7,23693251,2025-02-26
2025-02-27,175.94,176.59,169.752,170.21,25930530,2025-02-27
2025-02-28,170.3,172.5,168.39,172.22,30049812,2025-02-28
2025-03-03,173.73,175.0,167.64,168.66,24121991,2025-03-03
2025-03-04,167.94,175.165,167.54,172.61,30711408,2025-03-04
2025-03-05,172.32,175.75,170.93,174.99,18848036,2025-03-05
2025-03-06,172.55,176.73,172.508,174.21,19082404,2025-03-06
2025-03-07,173.242,176.9,172.25,175.75,16395287,2025-03-07
2025-03-10,170.16,170.45,165.565,167.81,28335500,2025-03-10
